--,13
-0,15
-1,19
-2,19
-3,22
-4,16
-5,14
-6,20
-7,14
-8,25
-9,24
-A,27
-a,22
-B,17
-b,18
-C,24
-c,20
-D,20
-d,22
-E,17
-e,13
-F,18
-f,14
-G,13
-g,14
-H,18
-h,21
-I,18
-i,21
-J,20
-j,14
-K,19
-k,31
-L,20
-l,18
-M,19
-m,20
-N,21
-n,14
-O,14
-o,18
-P,21
-p,24
-Q,21
-q,21
-R,22
-r,12
-S,13
-s,19
-T,22
-t,14
-U,13
-u,19
-V,25
-v,17
-W,11
-w,23
-X,14
-x,21
-Y,18
-y,21
-Z,18
-z,20
-_,16
0-,18
00,23
01,24
02,25
03,16
04,18
05,23
06,21
07,13
08,23
09,14
0A,19
0a,18
0B,16
0b,22
0C,19
0c,10
0D,19
0d,17
0E,17
0e,14
0F,11
0f,21
0G,15
0g,22
0H,25
0h,25
0I,16
0i,14
0J,16
0j,16
0K,17
0k,22
0L,11
0l,16
0M,16
0m,17
0N,23
0n,18
0O,12
0o,15
0P,15
0p,13
0Q,19
0q,12
0R,18
0r,24
0S,18
0s,12
0T,18
0t,16
0U,20
0u,12
0V,18
0v,16
0W,21
0w,20
0X,20
0x,24
0Y,19
0y,16
0Z,29
0z,18
0_,13
1-,18
10,16
11,9
12,17
13,22
14,20
15,16
16,20
17,12
18,12
19,23
1A,21
1a,19
1B,11
1b,16
1C,13
1c,21
1D,18
1d,15
1E,17
1e,15
1F,19
1f,15
1G,13
1g,20
1H,15
1h,14
1I,17
1i,25
1J,16
1j,23
1K,12
1k,18
1L,27
1l,29
1M,14
1m,22
1N,20
1n,25
1O,15
1o,21
1P,17
1p,33
1Q,22
1q,12
1R,28
1r,25
1S,23
1s,13
1T,17
1t,18
1U,16
1u,12
1V,15
1v,17
1W,14
1w,23
1X,12
1x,17
1Y,20
1y,22
1Z,26
1z,26
1_,14
2-,18
20,18
21,27
22,25
23,16
24,27
25,22
26,18
27,19
28,21
29,25
2A,19
2a,14
2B,20
2b,20
2C,13
2c,21
2D,12
2d,16
2E,11
2e,15
2F,20
2f,20
2G,14
2g,24
2H,14
2h,25
2I,17
2i,20
2J,20
2j,23
2K,20
2k,21
2L,23
2l,18
2M,14
2m,25
2N,18
2n,20
2O,25
2o,21
2P,17
2p,16
2Q,17
2q,13
2R,19
2r,19
2S,12
2s,20
2T,11
2t,16
2U,19
2u,25
2V,19
2v,19
2W,10
2w,16
2X,17
2x,17
2Y,19
2y,19
2Z,19
2z,10
2_,14
3-,16
30,13
31,21
32,23
33,19
34,15
35,14
36,20
37,17
38,20
39,23
3A,17
3a,19
3B,12
3b,18
3C,17
3c,22
3D,22
3d,20
3E,17
3e,17
3F,15
3f,17
3G,20
3g,14
3H,15
3h,23
3I,18
3i,19
3J,14
3j,17
3K,12
3k,21
3L,14
3l,20
3M,22
3m,21
3N,13
3n,13
3O,10
3o,17
3P,14
3p,20
3Q,15
3q,26
3R,17
3r,14
3S,22
3s,17
3T,27
3t,17
3U,18
3u,12
3V,23
3v,23
3W,24
3w,19
3X,24
3x,16
3Y,18
3y,21
3Z,27
3z,16
3_,18
4-,12
40,23
41,23
42,23
43,16
44,16
45,19
46,18
47,13
48,17
49,17
4A,17
4a,15
4B,8
4b,15
4C,18
4c,17
4D,17
4d,24
4E,18
4e,21
4F,13
4f,20
4G,16
4g,10
4H,18
4h,17
4I,18
4i,11
4J,21
4j,19
4K,16
4k,20
4L,12
4l,21
4M,20
4m,8
4N,12
4n,16
4O,25
4o,16
4P,10
4p,27
4Q,27
4q,25
4R,24
4r,12
4S,21
4s,27
4T,18
4t,22
4U,18
4u,24
4V,15
4v,14
4W,18
4w,27
4X,20
4x,17
4Y,22
4y,14
4Z,18
4z,22
4_,17
5-,21
50,20
51,16
52,20
